Name,Brand,Price,Image_url,Product_url
Snowboardbindung,Bent Metal Axtion 2021,"€ 249,95",https://images.blue-tomato.com/is/image/bluetomato/304372708_front.jpg-c-btTbB9rNwB0qXvvdzCyc3S9_k/Bent+Metal+Axtion+2021+Snowboardbindung.jpg?$b1$,https://www.blue-tomato.com/de-AT/product/Bent+Metal-Axtion+2021+Snowboardbindung-628586/?colid=blue
Snowboard-Bindung,Burton Freestyle,"€ 159,95",https://images.blue-tomato.com/is/image/bluetomato/303919928_front.jpg-JJ_O3UylASSN3qZ4H17YJgCFfYQ/Burton+Freestyle+Snowboard+Bindung.jpg?$b1$,https://www.blue-tomato.com/de-AT/product/Burton-Freestyle+Snowboard+Bindung-566973/
Snowboard,Lib Tech Travis Rice Pro Pointy 161.5 2021,"€ 599,95",https://images.blue-tomato.com/is/image/bluetomato/304372932_front.jpg-_MvHIrs8noMeHTylNA2Xye0FBqg/Lib+Tech+Travis+Rice+Pro+Pointy+161+5+2021+Snowboard.jpg?$b1$,https://www.blue-tomato.com/de-AT/product/Lib+Tech-Travis+Rice+Pro+Pointy+161+5+2021+Snowboard-628755/
Protektorhose,Body Glove Power Pro Protector Shorts,"€ 79,95",https://images.blue-tomato.com/is/image/bluetomato/303676296_front.jpg-bCD1jcZZnxPjT9at_XUft9m0GqU/Body+Glove+Power+Pro+Protector+Shorts+Protektorhose.jpg?$b1$,https://www.blue-tomato.com/de-AT/product/Body+Glove-Power+Pro+Protector+Shorts+Protektorhose-544983/
Snowboard,Bataleon Disaster 156W 2021,"€ 399,95",https://images.blue-tomato.com/is/image/bluetomato/304367362_front.jpg-DSMNF6P6ObbI2rVVfHGjRpr7moU/Bataleon+Disaster+156W+2021+Snowboard.jpg?$b1$,https://www.blue-tomato.com/de-AT/product/Bataleon-Disaster+156W+2021+Snowboard-626785/
Snowboardboots,Burton Limelight 2021,"€ 259,95",https://images.blue-tomato.com/is/image/bluetomato/304345861_front.jpg-BYTrsV3xEykJw_oIo6mBzTqU-uk/Burton+Limelight+2021+Snowboardboots.jpg?$b1$,https://www.blue-tomato.com/de-AT/product/Burton-Limelight+2021+Snowboardboots-623031/
Goggle,Smith I/O Mag XL Black(+Bonus Lens),"€ 239,95",https://images.blue-tomato.com/is/image/bluetomato/304377620_front.jpg-yyJ-MSMj9kcy8ys1-WKmuT7rFAs/Smith+I+O+Mag+XL+Black+Bonus+Lens+Goggle.jpg?$b1$,https://www.blue-tomato.com/de-AT/product/Smith-I+O+Mag+XL+Black+Bonus+Lens+Goggle-627399/
Snowboardbindung,Burton Genesis 2021,"€ 389,95",https://images.blue-tomato.com/is/image/bluetomato/304342240_front.jpg-i7MQrfBdC27nMqIgOof3KdNzlQ0/Burton+Genesis+2021+Snowboardbindung.jpg?$b1$,https://www.blue-tomato.com/de-AT/product/Burton-Genesis+2021+Snowboardbindung-622741/
Snowboard,Ride Twinpig 151 2021,"€ 449,95",https://images.blue-tomato.com/is/image/bluetomato/304358217_front.jpg-CepNQ9ZWC4F90B8YCHdvzHMBWFQ/Ride+Twinpig+151+2021+Snowboard.jpg?$b1$,https://www.blue-tomato.com/de-AT/product/Ride-Twinpig+151+2021+Snowboard-624614/
Snowboardboots,K2 Vandal 2021,"€ 149,95",https://images.blue-tomato.com/is/image/bluetomato/304359911_front.jpg-4xgwiRkwyCZbJy7jAY2Y-AZIwTc/K2+Vandal+2021+Snowboardboots.jpg?$b1$,https://www.blue-tomato.com/de-AT/product/K2-Vandal+2021+Snowboardboots-625146/
Snowboard,Jones Snowboards Flagship 159W 2021,"€ 649,95",https://images.blue-tomato.com/is/image/bluetomato/304375132_front.jpg-6myh7UMzuQb03m8nBWLmDY4yGxY/Jones+Snowboards+Flagship+159W+2021+Snowboard.jpg?$b1$,https://www.blue-tomato.com/de-AT/product/Jones+Snowboards-Flagship+159W+2021+Snowboard-629191/
Splitboard-Felle,G3 Splitboard+ UNIVERSAL 140mm SM,"€ 189,95",https://images.blue-tomato.com/is/image/bluetomato/304379153_front.jpg-YHbxE3K6Ietgr9-h4XOW2aN7uxI/G3+Splitboard+UNIVERSAL+140mm+SM+Splitboard+Felle.jpg?$b1$,https://www.blue-tomato.com/de-AT/product/G3-Splitboard+UNIVERSAL+140mm+SM+Splitboard+Felle-630846/
Helm,Giro Emerge MIPS,"€ 149,95",https://images.blue-tomato.com/is/image/bluetomato/304374442_front.jpg-1PzaKr7SbhkFkx9LtqnVP565844/Giro+Emerge+MIPS+Helm.jpg?$b1$,https://www.blue-tomato.com/de-AT/product/Giro-Emerge+MIPS+Helm-628960/?colid=matte+black+neon+lights
Snowboard,Arbor Swoon Camber 151 2021,"€ 559,95",https://images.blue-tomato.com/is/image/bluetomato/304367863_front.jpg-8TZeLo491H-ZcQIw0D-ec2q7An0/Arbor+Swoon+Camber+151+2021+Snowboard.jpg?$b1$,https://www.blue-tomato.com/de-AT/product/Arbor-Swoon+Camber+151+2021+Snowboard-627119/
Goggle,Dragon NFX2 Forest Sig 20 (+Bonus Lens),"€ 199,95",https://images.blue-tomato.com/is/image/bluetomato/304370127_front.jpg-xGkjlqYF26hn5fVSN2L7sBks6Uo/Dragon+NFX2+Forest+Sig+20+Bonus+Lens+Goggle.jpg?$b1$,https://www.blue-tomato.com/de-AT/product/Dragon-NFX2+Forest+Sig+20+Bonus+Lens+Goggle-627727/
2021,SP Fastec Ft270 Snowboard-Bindung,"€ 129,95",https://images.blue-tomato.com/is/image/bluetomato/303654352_front.jpg-x0olE5c08KJXei5brWrZur9OCio/SP+Fastec+Ft270+Snowboard+Bindung+2021.jpg?$b1$,https://www.blue-tomato.com/de-AT/product/SP-Fastec+Ft270+Snowboard+Bindung+2021-539125/
Pad,Volcom Stone Studs Stomp,"€ 14,95",https://images.blue-tomato.com/is/image/bluetomato/304318031_front.jpg-a5zPHF8Jhaf8fGu7ooYHaRs3Fjs/Volcom+Stone+Studs+Stomp+Pad.jpg?$b1$,https://www.blue-tomato.com/de-AT/product/Volcom-Stone+Studs+Stomp+Pad-620253/?colid=ids+iridescent
Snowboard,Capita Super DOA Wide 155W 2021,"€ 669,95",https://images.blue-tomato.com/is/image/bluetomato/304300166_front.jpg-3brhmEKwoLCQp4P-okcBpiKYCnU/Capita+Super+DOA+Wide+155W+2021+Snowboard.jpg?$b1$,https://www.blue-tomato.com/de-AT/product/Capita-Super+DOA+Wide+155W+2021+Snowboard-618447/
Snowboard,Bataleon Thunder 162W 2021,"€ 569,95",https://images.blue-tomato.com/is/image/bluetomato/304367447_front.jpg-jel0onl3LqYe3pNCjaNgrXbgsZE/Bataleon+Thunder+162W+2021+Snowboard.jpg?$b1$,https://www.blue-tomato.com/de-AT/product/Bataleon-Thunder+162W+2021+Snowboard-626870/
Snowboardbindung,Roxy Dash 2021,"€ 159,95",https://images.blue-tomato.com/is/image/bluetomato/304373093_front.jpg-MnwKeF2nDBsmZYTb4mqheDR5h6w/Roxy+Dash+2021+Snowboardbindung.jpg?$b1$,https://www.blue-tomato.com/de-AT/product/Roxy-Dash+2021+Snowboardbindung-628915/
Snowboard,Ride Burnout 152 2021,"€ 559,95",https://images.blue-tomato.com/is/image/bluetomato/304358193_front.jpg-H1-7X3CGZBM97h2gkeapVtQAYbo/Ride+Burnout+152+2021+Snowboard.jpg?$b1$,https://www.blue-tomato.com/de-AT/product/Ride-Burnout+152+2021+Snowboard-624590/
Set,Burton After School Special 80 2021 Snowboard,"€ 239,95",https://images.blue-tomato.com/is/image/bluetomato/303918418_front.jpg-8nboFBD0Iy1Ej9buURutVKDK9Qk/Burton+After+School+Special+80+2021+Snowboard+Set.jpg?$b1$,https://www.blue-tomato.com/de-AT/product/Burton-After+School+Special+80+2021+Snowboard+Set-566772/
Goggle,Oakley Flight Tracker XM Factory Pilot White,"€ 179,95",https://images.blue-tomato.com/is/image/bluetomato/304356277_front.jpg-rVRspj1LyWJfCMy-y7UItwMc3W0/Oakley+Flight+Tracker+XM+Factory+Pilot+White+Goggle.jpg?$b1$,https://www.blue-tomato.com/de-AT/product/Oakley-Flight+Tracker+XM+Factory+Pilot+White+Goggle-624193/
Goggle,Dragon RVX OTG Azimuth (+Bonus Lens),"€ 244,95",https://images.blue-tomato.com/is/image/bluetomato/304370220_front.jpg-rdEa0qJVx-pm8fmurihBD0899XI/Dragon+RVX+OTG+Azimuth+Bonus+Lens+Goggle.jpg?$b1$,https://www.blue-tomato.com/de-AT/product/Dragon-RVX+OTG+Azimuth+Bonus+Lens+Goggle-627815/
Snowboard,Lib Tech JL Short Wide 150 2021,"€ 599,95",https://images.blue-tomato.com/is/image/bluetomato/304372999_front.jpg-0sN4v7WrKui65BKipWXKqaxO4LY/Lib+Tech+JL+Short+Wide+150+2021+Snowboard.jpg?$b1$,https://www.blue-tomato.com/de-AT/product/Lib+Tech-JL+Short+Wide+150+2021+Snowboard-628822/
Goggle,Roxy Storm Bright White,"€ 69,95",https://images.blue-tomato.com/is/image/bluetomato/304270292_front.jpg-V5-9lw3t-9lj6XjYy71nqkFJm80/Roxy+Storm+Bright+White+Goggle.jpg?$b1$,https://www.blue-tomato.com/de-AT/product/Roxy-Storm+Bright+White+Goggle-615372/
2021,Salomon Pearl Boa Snowboard-Boots,"€ 229,95",https://images.blue-tomato.com/is/image/bluetomato/304378534_front.jpg-Vmgdd9SBLdAnSiMu9iHBQ8apuss/Salomon+Pearl+Boa+Snowboard+Boots+2021.jpg?$b1$,https://www.blue-tomato.com/de-AT/product/Salomon-Pearl+Boa+Snowboard+Boots+2021-630767/
Snowboard,Bataleon Wallie 154 2021,"€ 449,95",https://images.blue-tomato.com/is/image/bluetomato/304367372_front.jpg-iucMHLchYDwIKlldCGGbLVDDHlI/Bataleon+Wallie+154+2021+Snowboard.jpg?$b1$,https://www.blue-tomato.com/de-AT/product/Bataleon-Wallie+154+2021+Snowboard-626795/
Goggle,Anon Relapse Smoke (+Bonus Lens),"€ 109,95",https://images.blue-tomato.com/is/image/bluetomato/304362895_front.jpg-JFoECAqsmTSXGb3EX70mqniZ0z0/Anon+Relapse+Smoke+Bonus+Lens+Goggle.jpg?$b1$,https://www.blue-tomato.com/de-AT/product/Anon-Relapse+Smoke+Bonus+Lens+Goggle-625817/
Snowboard,Nidecker Score 162W 2021,"€ 299,95",https://images.blue-tomato.com/is/image/bluetomato/304375586_front.jpg-zCGf_g-YPQpBbPAAVjoBJi9rMzc/Nidecker+Score+162W+2021+Snowboard.jpg?$b1$,https://www.blue-tomato.com/de-AT/product/Nidecker-Score+162W+2021+Snowboard-629477/
Snowboardbindung,Bent Metal Axtion 2021,"€ 249,95",https://images.blue-tomato.com/is/image/bluetomato/304372705_front.jpg-Kmhg0JKe62_Y33VJ8zB_P-pj_Ss/Bent+Metal+Axtion+2021+Snowboardbindung.jpg?$b1$,https://www.blue-tomato.com/de-AT/product/Bent+Metal-Axtion+2021+Snowboardbindung-628586/
Snowboardboots,Vans Jake Kuzyk Hi-Standard OG 2021,"€ 239,95",https://images.blue-tomato.com/is/image/bluetomato/304372037_front.jpg-yBZ9BUi31k-PfEfPZ5kHCCib-pM/Vans+Jake+Kuzyk+Hi+Standard+OG+2021+Snowboardboots.jpg?$b1$,https://www.blue-tomato.com/de-AT/product/Vans-Jake+Kuzyk+Hi+Standard+OG+2021+Snowboardboots-628306/
Splitboard,Jones Snowboards Frontier 164W,"€ 749,95",https://images.blue-tomato.com/is/image/bluetomato/304375189_front.jpg-PQu1BAfxi39ImobLO1KXYZgGocM/Jones+Snowboards+Frontier+164W+Splitboard.jpg?$b1$,https://www.blue-tomato.com/de-AT/product/Jones+Snowboards-Frontier+164W+Splitboard-629248/
Snowboard,Burton Process 155 2021,"€ 459,95",https://images.blue-tomato.com/is/image/bluetomato/304342024_front.jpg-0C5_0qzf0T0fUMQTBsv0qJvgjsw/Burton+Process+155+2021+Snowboard.jpg?$b1$,https://www.blue-tomato.com/de-AT/product/Burton-Process+155+2021+Snowboard-622556/
2021,Union Expedition Splitboard-Bindung,"€ 379,95",https://images.blue-tomato.com/is/image/bluetomato/304300432_front.jpg-9XMWLw6G3sObOVyGUqGfxP1bTwY/Union+Expedition+Splitboard+Bindung+2021.jpg?$b1$,https://www.blue-tomato.com/de-AT/product/Union-Expedition+Splitboard+Bindung+2021-618614/
Splitboard-Felle,G3 Splitboard+ UNIVERSAL 140mm ML,"€ 189,95",https://images.blue-tomato.com/is/image/bluetomato/304379154_front.jpg-EppES6y8Sb7SK3d0Llf8bGJ2Yzk/G3+Splitboard+UNIVERSAL+140mm+ML+Splitboard+Felle.jpg?$b1$,https://www.blue-tomato.com/de-AT/product/G3-Splitboard+UNIVERSAL+140mm+ML+Splitboard+Felle-630847/
Goggle,Anon Sync Ce Grn (+Bonus Lens),"€ 169,95",https://images.blue-tomato.com/is/image/bluetomato/304362953_front.jpg-VjQk8ozejGcZLYJPyfqqPWNk1p8/Anon+Sync+Ce+Grn+Bonus+Lens+Goggle.jpg?$b1$,https://www.blue-tomato.com/de-AT/product/Anon-Sync+Ce+Grn+Bonus+Lens+Goggle-625875/
Snowboardboots,K2 Haven 2021,"€ 229,95",https://images.blue-tomato.com/is/image/bluetomato/304359861_front.jpg-PG66EeirasS__6jIGWOgwQ4ADR4/K2+Haven+2021+Snowboardboots.jpg?$b1$,https://www.blue-tomato.com/de-AT/product/K2-Haven+2021+Snowboardboots-625126/
Goggle,Oakley Line Miner XM Celeste Balsam,"€ 159,95",https://images.blue-tomato.com/is/image/bluetomato/304356199_front.jpg-nDCFDeUSZRhAskTrnDVqkd69xgM/Oakley+Line+Miner+XM+Celeste+Balsam+Goggle.jpg?$b1$,https://www.blue-tomato.com/de-AT/product/Oakley-Line+Miner+XM+Celeste+Balsam+Goggle-624115/
Snowboard,Vimana Continental Twin 153 2021,"€ 424,95",https://images.blue-tomato.com/is/image/bluetomato/304374649_front.jpg-H_wDFW4wUzUcwTSow_Quzw6ITzg/Vimana+Continental+Twin+153+2021+Snowboard.jpg?$b1$,https://www.blue-tomato.com/de-AT/product/Vimana-Continental+Twin+153+2021+Snowboard-629009/?colid=white
Snowboard-Set,Nitro Lectra 152 + Rhythm M 2021,"€ 399,95",https://images.blue-tomato.com/is/image/bluetomato/304363896_front.jpg-P7Jxoo2Xd0rHEHvPlPLAXgrwbG0/Nitro+Lectra+152+Rhythm+M+2021+Snowboard+Set.jpg?$b1$,https://www.blue-tomato.com/de-AT/product/Nitro-Lectra+152+Rhythm+M+2021+Snowboard+Set-626116/
Helm,Salomon Brigade,"€ 79,95",https://images.blue-tomato.com/is/image/bluetomato/303659169_front.jpg-Ku5i2_oFHt5SWtGhM-5JhZcXCvk/Salomon+Brigade+Helm.jpg?$b1$,https://www.blue-tomato.com/de-AT/product/Salomon-Brigade+Helm-540442/
Snowboard,Arbor Element Camber 160MW 2021,"€ 499,95",https://images.blue-tomato.com/is/image/bluetomato/304367774_front.jpg-h4LpVWwZuqoEwwvn_mHBgflieek/Arbor+Element+Camber+160MW+2021+Snowboard.jpg?$b1$,https://www.blue-tomato.com/de-AT/product/Arbor-Element+Camber+160MW+2021+Snowboard-627034/
